pid,price,link,name
B07195W6K2,"7,990.00",http://www.amazon.in/LeEco-X509-Gold-Certified-Refurbished/dp/B07195W6K2,"LeEco Le 1s Eco X509 (Gold, 32GB)(Certified Refurbished)"
B01LWNBIQQ,"24,990.00",http://www.amazon.in/Samsung-Galaxy-Pro-Gold-64GB/dp/B01LWNBIQQ,"Samsung Galaxy C7 Pro (Gold, 64GB)"
B01H0P9N14,"1,048.00",http://www.amazon.in/Kechaoda-K116-Credit-Mobile-Phone/dp/B01H0P9N14,Kechaoda K116 Credit card size Mobile Phone
B01N000FB0,699.00,http://www.amazon.in/Aqua-J1-Battery-Vibration-Earphones/dp/B01N000FB0,Aqua J1 - 1200 mAh Battery Slim Dual SIM Basic Keypad Mobile Phone with Vibration Feature & Free Earphones - Gold
B01N7RJ8HM,"3,199.00",http://www.amazon.in/dp/B01N7RJ8HM,"Swipe Konnect Grand (5 inch, Android 6.0)"
B018U7PG30,,,"Xiaomi Redmi Note Prime (White, 16 GB)"
B015GZH4TS,"1,990.00",http://www.amazon.in/Samsung-B313E-Metro-Black/dp/B015GZH4TS,Samsung Metro B313E (Black)
B01MZ0NA27,"13,380.00",http://www.amazon.in/Lenovo-K6-Note-Gold/dp/B01MZ0NA27,Lenovo K6 Note (Gold)
B071VT6RG2,"17,990.00",http://www.amazon.in/Vivo-V5S-Crown-Gold-Offers/dp/B071VT6RG2,Vivo V5S (Crown Gold) with Offers
B0727TN4V8,"8,249.00",http://www.amazon.in/Intex-Elyt-E7-Champagne/dp/B0727TN4V8,"Intex Elyt E7 (Champagne, 32GB)"
B06XRTLJDX,"16,339.00",http://www.amazon.in/Gionee-A1-Gold-64GB/dp/B06XRTLJDX,"Gionee A1 (Gold, 64GB)"
B00W3N50I4,940.00,http://www.amazon.in/Micromax-X072-Black/dp/B00W3N50I4,Micromax X072 (Black)
